cluster_id,n_voxels,peak_value,peak_i,peak_j,peak_k,peak_x,peak_y,peak_z,com_x,com_y,com_z,HO_cortical_label,HO_subcortical_label,best_label
287,1,1.0,19,40,1,-51.36042249202728,-33.89090057462454,-72.82363891601562,-51.36042249202728,-33.89090057462454,-72.82363891601562,,,
288,1,1.0,19,40,19,-51.36042249202728,-33.89090057462454,-36.823638916015625,-51.36042249202728,-33.89090057462454,-36.823638916015625,,,
289,1,1.0,19,40,28,-51.36042249202728,-33.89090057462454,-18.823638916015625,-51.36042249202728,-33.89090057462454,-18.823638916015625,"Inferior Temporal Gyrus, posterior division",Left Cerebral White Matter,"Inferior Temporal Gyrus, posterior division"
290,4,1.0,19,40,32,-51.36042249202728,-33.89090057462454,-10.823638916015625,-49.49477307498455,-30.80555894970894,-12.323638916015625,"Middle Temporal Gyrus, posterior division",Left Cerebral White Matter,"Middle Temporal Gyrus, posterior division"
291,17,1.0,19,43,58,-51.62521669268608,-27.89674635976553,41.176361083984375,-47.200068920850754,-34.76697142948123,40.58812578986672,"Supramarginal Gyrus, anterior division",Left Cerebral Cortex,"Supramarginal Gyrus, anterior division"
292,3,1.0,19,45,40,-51.801746159791946,-23.900643549859524,5.176361083984375,-51.135730654001236,-23.87122204403083,5.843027750651046,Planum Temporale,Left Cerebral Cortex,Planum Temporale
293,1,1.0,19,45,52,-51.801746159791946,-23.900643549859524,29.176361083984375,-51.801746159791946,-23.900643549859524,29.176361083984375,"Supramarginal Gyrus, anterior division",Left Cerebral White Matter,"Supramarginal Gyrus, anterior division"
294,1,1.0,19,46,10,-51.89001089334488,-21.90259214490652,-54.823638916015625,-51.89001089334488,-21.90259214490652,-54.823638916015625,,,
295,3,1.0,19,48,35,-52.066540360450745,-17.906489335000515,-4.823638916015625,-50.7639309267203,-17.18162918835877,-4.156972249348954,"Superior Temporal Gyrus, posterior division",Left Cerebral Cortex,"Superior Temporal Gyrus, posterior division"
296,1,1.0,19,48,46,-52.066540360450745,-17.906489335000515,17.176361083984375,-52.066540360450745,-17.906489335000515,17.176361083984375,Central Opercular Cortex,Left Cerebral Cortex,Central Opercular Cortex
297,1,1.0,19,49,63,-52.15480509400368,-15.908437930047512,51.176361083984375,-52.15480509400368,-15.908437930047512,51.176361083984375,Postcentral Gyrus,Left Cerebral Cortex,Postcentral Gyrus
298,2,1.0,19,50,23,-52.24306982755661,-13.91038652509451,-28.823638916015625,-52.28720219433308,-12.911360822618008,-27.823638916015625,"Inferior Temporal Gyrus, posterior division",Left Cerebral Cortex,"Inferior Temporal Gyrus, posterior division"
299,2,1.0,19,51,64,-52.33133456110954,-11.912335120141506,53.176361083984375,-52.33133456110954,-11.912335120141506,54.176361083984375,Precentral Gyrus,Left Cerebral Cortex,Precentral Gyrus
300,1,1.0,19,53,13,-52.50786402821541,-7.9162323102355,-48.823638916015625,-52.50786402821541,-7.9162323102355,-48.823638916015625,,,
301,1,1.0,19,58,58,-52.94918769598007,2.0740247145295143,41.176361083984375,-52.94918769598007,2.0740247145295143,41.176361083984375,Precentral Gyrus,Left Cerebral Cortex,Precentral Gyrus
302,3,1.0,19,58,63,-52.94918769598007,2.0740247145295143,51.176361083984375,-53.00803085168203,3.4060589844981735,53.176361083984375,,Left Cerebral Cortex,Left Cerebral Cortex
303,1,1.0,19,60,51,-53.12571716308594,6.07012752443552,27.176361083984375,-53.12571716308594,6.07012752443552,27.176361083984375,Precentral Gyrus,Left Cerebral Cortex,Precentral Gyrus
304,3,1.0,19,60,57,-53.12571716308594,6.07012752443552,39.176361083984375,-52.45970165729523,6.099549030264214,39.843027750651046,Precentral Gyrus,Left Cerebral Cortex,Precentral Gyrus
305,4,1.0,19,64,17,-53.47877609729767,14.062333144247532,-40.823638916015625,-51.50279576331377,14.650110512971878,-39.823638916015625,,,
306,1,1.0,19,65,14,-53.5670408308506,16.060384549200535,-46.823638916015625,-53.5670408308506,16.060384549200535,-46.823638916015625,,,
307,1,1.0,19,66,58,-53.655305564403534,18.058435954153538,41.176361083984375,-53.655305564403534,18.058435954153538,41.176361083984375,,,
308,2,1.0,19,67,53,-53.74357029795647,20.05648735910654,31.176361083984375,-52.700414672493935,19.101593915373087,31.176361083984375,Middle Frontal Gyrus,Left Cerebral Cortex,Middle Frontal Gyrus
309,1,1.0,19,67,55,-53.74357029795647,20.05648735910654,35.176361083984375,-53.74357029795647,20.05648735910654,35.176361083984375,Middle Frontal Gyrus,Left Cerebral Cortex,Middle Frontal Gyrus
310,1,1.0,19,67,63,-53.74357029795647,20.05648735910654,51.176361083984375,-53.74357029795647,20.05648735910654,51.176361083984375,,,
311,6,1.0,19,69,19,-53.92009976506233,24.052590169012547,-36.823638916015625,-52.34332573413849,26.124195338537305,-37.49030558268229,,,
312,3,1.0,19,77,41,-54.626217633485794,40.03700140863657,7.176361083984375,-54.01904528339704,41.398457184433965,7.176361083984375,,Left Cerebral Cortex,Left Cerebral Cortex
313,1,1.0,19,77,58,-54.626217633485794,40.03700140863657,41.176361083984375,-54.626217633485794,40.03700140863657,41.176361083984375,,,
314,3,1.0,19,84,25,-55.24407076835632,54.02336124330759,-24.823638916015625,-54.63689841826757,55.384817019104986,-24.823638916015625,,,
315,3,1.0,19,90,57,-55.77365916967392,66.01166967302561,39.176361083984375,-55.77365916967392,66.01166967302561,41.176361083984375,,,
316,2,1.0,19,97,46,-56.39151230454445,79.99802950769663,17.176361083984375,-55.39248904585838,80.04216176643968,17.176361083984375,,,
317,1,1.0,19,100,36,-56.65630650520325,85.99218372255564,-2.823638916015625,-56.65630650520325,85.99218372255564,-2.823638916015625,,,
318,10,1.0,20,18,36,-47.42055183649063,-77.75976696610451,-2.823638916015625,-46.44800799787045,-77.11621928587556,-1.823638916015625,"Lateral Occipital Cortex, inferior division",Left Cerebral Cortex,"Lateral Occipital Cortex, inferior division"
319,3,1.0,20,22,22,-47.77361077070236,-69.7675613462925,-30.823638916015625,-46.35331502556801,-71.70676973958811,-32.15697224934896,,,
320,1,1.0,20,22,31,-47.77361077070236,-69.7675613462925,-12.823638916015625,-47.77361077070236,-69.7675613462925,-12.823638916015625,"Lateral Occipital Cortex, inferior division",Left Cerebral Cortex,"Lateral Occipital Cortex, inferior division"
321,1,1.0,20,22,33,-47.77361077070236,-69.7675613462925,-8.823638916015625,-47.77361077070236,-69.7675613462925,-8.823638916015625,"Lateral Occipital Cortex, inferior division",Left Cerebral Cortex,"Lateral Occipital Cortex, inferior division"
322,1,1.0,20,23,25,-47.861875504255295,-67.76950994133949,-24.823638916015625,-47.861875504255295,-67.76950994133949,-24.823638916015625,,,
